"skincolor","feeling"
"white","not_discriminated"
"light_brown","not_discriminated"
"dark_brown","discriminated"
"dark_brown","discriminated"
"light_brown","discriminated"
"dark_brown","discriminated"
"brown","discriminated"
"medium_brown","discriminated"
"light_brown","discriminated"
"light_brown","not_discriminated"
"brown","discriminated"
"white","discriminated"
"brown","discriminated"
"brown","discriminated"
"dark_brown","discriminated"
"light_brown","not_discriminated"
"medium_brown","discriminated"
"light_brown","not_discriminated"
"medium_brown","not_discriminated"
"medium_brown","not_discriminated"
"medium_brown","not_discriminated"
"white","not_discriminated"
"dark_brown","not_discriminated"
"light_brown","not_discriminated"
"brown","discriminated"
"white","discriminated"
"light_brown","discriminated"
"medium_brown","not_discriminated"
"brown","discriminated"
"brown","not_discriminated"
"light_brown","discriminated"
"white","discriminated"
"medium_brown","not_discriminated"
"medium_brown","discriminated"
"white","not_discriminated"
"medium_brown","discriminated"
"light_brown","discriminated"
"light_brown","not_discriminated"
"medium_brown","not_discriminated"
"brown","discriminated"
"white","not_discriminated"
"brown","discriminated"
"light_brown","not_discriminated"
"light_brown","not_discriminated"
"light_brown","not_discriminated"
"light_brown","not_discriminated"
"light_brown","discriminated"
"light_brown","not_discriminated"
"medium_brown","discriminated"
"light_brown","not_discriminated"
"light_brown","not_discriminated"
"dark_brown","discriminated"
"brown","not_discriminated"
"light_brown","not_discriminated"
"medium_brown","not_discriminated"
"dark_brown","discriminated"
"brown","discriminated"
"brown","not_discriminated"
"medium_brown","discriminated"
"dark_brown","discriminated"
"light_brown","not_discriminated"
"medium_brown","discriminated"
"light_brown","not_discriminated"
"medium_brown","discriminated"
"dark_brown","discriminated"
"brown","discriminated"
"dark_brown","discriminated"
"light_brown","not_discriminated"
"brown","not_discriminated"
"light_brown","not_discriminated"
"light_brown","discriminated"
"dark_brown","discriminated"
"light_brown","not_discriminated"
"white","not_discriminated"
"light_brown","not_discriminated"
"medium_brown","discriminated"
"white","not_discriminated"
"light_brown","not_discriminated"
"brown","not_discriminated"
"medium_brown","not_discriminated"
"brown","discriminated"
"light_brown","not_discriminated"
"brown","discriminated"
"dark_brown","discriminated"
"light_brown","not_discriminated"
"brown","discriminated"
"white","not_discriminated"
"light_brown","discriminated"
"medium_brown","discriminated"
"brown","discriminated"
"brown","discriminated"
"dark_brown","not_discriminated"
"light_brown","not_discriminated"
"medium_brown","discriminated"
"white","not_discriminated"
"medium_brown","not_discriminated"
"white","not_discriminated"
"white","not_discriminated"
"light_brown","not_discriminated"
"light_brown","not_discriminated"
"light_brown","not_discriminated"
"brown","not_discriminated"
"brown","not_discriminated"
"medium_brown","not_discriminated"
"white","not_discriminated"
"brown","not_discriminated"
"light_brown","not_discriminated"
"brown","not_discriminated"
"white","not_discriminated"
"brown","discriminated"
"medium_brown","not_discriminated"
"light_brown","not_discriminated"
"brown","not_discriminated"
"medium_brown","not_discriminated"
"light_brown","not_discriminated"
"medium_brown","discriminated"
"brown","discriminated"
"light_brown","not_discriminated"
"light_brown","not_discriminated"
"white","not_discriminated"
"dark_brown","discriminated"
"medium_brown","not_discriminated"
"brown","discriminated"
"dark_brown","discriminated"
"dark_brown","discriminated"
"brown","not_discriminated"
"light_brown","not_discriminated"
"medium_brown","discriminated"
"dark_brown","discriminated"
"medium_brown","discriminated"
"dark_brown","discriminated"
"medium_brown","discriminated"
"medium_brown","discriminated"
"light_brown","discriminated"
"white","not_discriminated"
"dark_brown","discriminated"
"brown","discriminated"
"light_brown","not_discriminated"
"white","not_discriminated"
"dark_brown","discriminated"
"medium_brown","not_discriminated"
"dark_brown","discriminated"
"brown","not_discriminated"
"brown","discriminated"
"light_brown","not_discriminated"
"dark_brown","discriminated"
"brown","discriminated"
"brown","not_discriminated"
"medium_brown","not_discriminated"
"dark_brown","discriminated"
"medium_brown","not_discriminated"
"dark_brown","discriminated"
"light_brown","discriminated"
"brown","discriminated"
"light_brown","not_discriminated"
"brown","not_discriminated"
"light_brown","not_discriminated"
"medium_brown","discriminated"
"white","not_discriminated"
"brown","discriminated"
"dark_brown","discriminated"
"medium_brown","not_discriminated"
"light_brown","not_discriminated"
"brown","not_discriminated"
"dark_brown","discriminated"
"white","not_discriminated"
"medium_brown","not_discriminated"
"brown","not_discriminated"
"medium_brown","not_discriminated"
"dark_brown","discriminated"
"white","not_discriminated"
"brown","not_discriminated"
"brown","discriminated"
"light_brown","not_discriminated"
"light_brown","not_discriminated"
"light_brown","discriminated"
"brown","discriminated"
"brown","discriminated"
"brown","discriminated"
"medium_brown","discriminated"
"dark_brown","not_discriminated"
"brown","discriminated"
"medium_brown","discriminated"
"white","not_discriminated"
"medium_brown","not_discriminated"
"brown","discriminated"
"brown","not_discriminated"
"medium_brown","not_discriminated"
"white","not_discriminated"
"white","not_discriminated"
"medium_brown","not_discriminated"
"brown","not_discriminated"
"brown","not_discriminated"
"light_brown","not_discriminated"
"brown","discriminated"
"light_brown","not_discriminated"
"medium_brown","discriminated"
"dark_brown","discriminated"
"white","not_discriminated"
"white","not_discriminated"
"medium_brown","discriminated"
"brown","not_discriminated"
"light_brown","not_discriminated"
"white","not_discriminated"
"white","not_discriminated"
"light_brown","not_discriminated"
"dark_brown","not_discriminated"
"light_brown","not_discriminated"
"brown","discriminated"
"light_brown","not_discriminated"
"light_brown","discriminated"
"light_brown","not_discriminated"
"dark_brown","discriminated"
"light_brown","not_discriminated"
"white","not_discriminated"
"medium_brown","not_discriminated"
"light_brown","not_discriminated"
"light_brown","not_discriminated"
"light_brown","discriminated"
"medium_brown","discriminated"
"dark_brown","discriminated"
"dark_brown","discriminated"
"dark_brown","discriminated"
"light_brown","not_discriminated"
"light_brown","not_discriminated"
"medium_brown","not_discriminated"
"brown","not_discriminated"
"white","not_discriminated"
"dark_brown","discriminated"
"medium_brown","not_discriminated"
"light_brown","discriminated"
"white","not_discriminated"
"dark_brown","discriminated"
"light_brown","not_discriminated"
"light_brown","not_discriminated"
"light_brown","not_discriminated"
"light_brown","not_discriminated"
"light_brown","not_discriminated"
"white","not_discriminated"
"brown","discriminated"
"medium_brown","not_discriminated"
"light_brown","not_discriminated"
"dark_brown","not_discriminated"
"brown","not_discriminated"
"brown","discriminated"
"medium_brown","discriminated"
"medium_brown","discriminated"
"brown","discriminated"
"light_brown","not_discriminated"
"dark_brown","discriminated"
"dark_brown","discriminated"
"brown","discriminated"
"medium_brown","discriminated"
"light_brown","not_discriminated"
"white","not_discriminated"
"light_brown","not_discriminated"
"brown","discriminated"
"brown","discriminated"
"brown","not_discriminated"
"brown","discriminated"
"light_brown","not_discriminated"
"dark_brown","discriminated"
"brown","not_discriminated"
"dark_brown","not_discriminated"
"light_brown","not_discriminated"
"white","not_discriminated"
"light_brown","not_discriminated"
"medium_brown","not_discriminated"
"light_brown","not_discriminated"
"medium_brown","not_discriminated"
"light_brown","not_discriminated"
"medium_brown","discriminated"
"white","not_discriminated"
"light_brown","not_discriminated"
"brown","discriminated"
"medium_brown","not_discriminated"
"brown","discriminated"
"brown","not_discriminated"
"medium_brown","discriminated"
"light_brown","not_discriminated"
"dark_brown","discriminated"
"brown","discriminated"
"medium_brown","not_discriminated"
"brown","not_discriminated"
"light_brown","discriminated"
"light_brown","not_discriminated"
"light_brown","discriminated"
"dark_brown","discriminated"
"medium_brown","discriminated"
"medium_brown","discriminated"
"light_brown","not_discriminated"
"dark_brown","discriminated"
"light_brown","discriminated"
"white","not_discriminated"
"medium_brown","discriminated"
"white","not_discriminated"
"medium_brown","not_discriminated"
"dark_brown","discriminated"
"medium_brown","discriminated"
"white","not_discriminated"
"dark_brown","discriminated"
"light_brown","discriminated"
"light_brown","not_discriminated"
"medium_brown","discriminated"
"light_brown","discriminated"
"light_brown","not_discriminated"
"light_brown","not_discriminated"
"brown","discriminated"
"medium_brown","discriminated"
"white","not_discriminated"
"brown","discriminated"
"dark_brown","discriminated"
"medium_brown","discriminated"
"brown","not_discriminated"
"medium_brown","not_discriminated"
"brown","discriminated"
"brown","discriminated"
"white","not_discriminated"
"white","not_discriminated"
"medium_brown","discriminated"
"light_brown","not_discriminated"
"medium_brown","discriminated"
"white","not_discriminated"
"dark_brown","discriminated"
"dark_brown","not_discriminated"
"medium_brown","not_discriminated"
"white","not_discriminated"
"medium_brown","not_discriminated"
"dark_brown","discriminated"
"medium_brown","not_discriminated"
"medium_brown","not_discriminated"
"white","discriminated"
"brown","discriminated"
"medium_brown","discriminated"
"light_brown","not_discriminated"
"light_brown","not_discriminated"
"medium_brown","not_discriminated"
"brown","not_discriminated"
"light_brown","not_discriminated"
"dark_brown","discriminated"
"white","not_discriminated"
"brown","discriminated"
"dark_brown","discriminated"
"light_brown","not_discriminated"
"medium_brown","discriminated"
"medium_brown","not_discriminated"
"light_brown","not_discriminated"
"medium_brown","discriminated"
"medium_brown","discriminated"
"light_brown","discriminated"
"white","not_discriminated"
"medium_brown","not_discriminated"
"white","not_discriminated"
"brown","discriminated"
"medium_brown","not_discriminated"
"white","not_discriminated"
"brown","discriminated"
"medium_brown","not_discriminated"
"brown","not_discriminated"
"white","not_discriminated"
"light_brown","not_discriminated"
"brown","not_discriminated"
"medium_brown","discriminated"
"white","discriminated"
"dark_brown","not_discriminated"
"light_brown","not_discriminated"
"dark_brown","discriminated"
"medium_brown","discriminated"
"medium_brown","not_discriminated"
"brown","discriminated"
"dark_brown","discriminated"
"dark_brown","discriminated"
"brown","not_discriminated"
"white","not_discriminated"
"light_brown","not_discriminated"
"medium_brown","discriminated"
"brown","not_discriminated"
"light_brown","discriminated"
"white","not_discriminated"
"medium_brown","discriminated"
"medium_brown","discriminated"
"medium_brown","not_discriminated"
"brown","not_discriminated"
"white","not_discriminated"
"medium_brown","discriminated"
"light_brown","not_discriminated"
"dark_brown","discriminated"
"white","not_discriminated"
"medium_brown","discriminated"
"dark_brown","discriminated"
"medium_brown","discriminated"
"medium_brown","not_discriminated"
"medium_brown","not_discriminated"
"medium_brown","not_discriminated"
"white","not_discriminated"
"light_brown","not_discriminated"
"white","not_discriminated"
